NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
958627A,"April 24, 2013",,1157 055,JOHNSTON SQUARE                          ,-537570296,H,761489,5222,1424168.5424263924,596766.8588831425
957789A,"April 18, 2013",,2201 024,ROSEMONT HOMEOWNERS/TENANTS              ,-537570440,I,801491,282,1410440.8415353894,592961.5895908177
95754A,"November 1, 2005",,1102 052,OLIVER                                   ,-537567896,I,758891,1537,1426793.30751805,599286.275432229
957248A,"April 18, 2013",,1099A033,OLIVER                                   ,-537568280,J,758554,407,1424964.944048807,599299.3892511427
95664A,"October 31, 2005",,2377D035,MOSHER                                   ,-537568232,I,807960,9811,1408311.8267645538,593197.1544083953
956352A,"April 17, 2013",,1655 078,MCELDERRY PARK                           ,-537568088,H,776663,4430,1430420.48792772,594060.3511728048
956317A,"April 16, 2013",,2439 005,ROSEMONT                                 ,-537569288,G,810227,8398,1405821.147362724,597691.9705499709
95595A,"October 31, 2005",,3232A005,PARKVIEW/WOODBROOK                       ,-537568760,I,828301,3695,1412267.8116347194,600902.6737742275
955346A,"April 19, 2013",,0084 071,HARLEM PARK                              ,-537569528,J,727900,6550,1412371.4282253832,594366.5664396435
954210A,"April 11, 2013",,7900G001D,FRANKLINTOWN                             ,-537569240,E,951702,7487,1394140.545067802,596126.3490093052
952762A,"April 15, 2013",,0288 008,CARROLLTON RIDGE                         ,-537568040,J,738749,11969,1411012.592688471,588676.9574120641
951921A,"June 28, 2013",,3413 041,PENN NORTH                               ,-537567992,I,833958,2579,1413912.6121508926,599473.5250577331
951771A,"April 11, 2013",,0082 016,MIDTOWN-EDMONDSON                        ,-537569336,J,727684,10792,1411298.4408700466,594185.1025637239
95166A,"October 28, 2005",,1131 004,OLIVER                                   ,-537570008,H,760349,3720,1424521.8878483027,597371.18050915
951648A,"April 11, 2013",,0128 036,HARLEM PARK                              ,-537569144,I,730336,1674,1415554.1278967261,593041.3466491401
